Date,Open,High,Low,Close,Volume,Adj Close
2013-04-08,140.60,146.70,139.40,144.40,4479100,136.90
2013-04-01,144.00,149.00,139.15,140.95,4554700,133.63
2013-03-25,146.05,146.65,137.10,143.60,3320200,136.14
2013-03-18,154.90,156.25,135.10,143.15,9129500,135.71
2013-03-11,160.40,162.45,151.70,157.45,5317300,149.27
2013-03-04,145.40,160.90,142.15,160.25,7352600,151.93
2013-02-25,159.00,160.00,143.05,146.00,8884700,138.42
2013-02-18,157.45,164.90,153.90,155.95,5218000,147.85
2013-02-11,161.85,162.35,152.10,158.05,5039800,149.84
2013-02-04,169.30,171.15,155.25,161.85,7537500,153.44
2013-01-28,170.70,174.85,166.70,167.85,3859000,159.13
2013-01-21,175.30,179.75,163.05,169.65,4701500,160.84
2013-01-14,174.10,177.80,170.30,176.05,4162400,166.91
2013-01-07,183.90,185.30,172.55,174.00,4711500,164.96
2012-12-31,173.00,184.45,170.70,183.50,4823100,173.97
2012-12-24,169.95,174.75,167.75,173.10,3017900,164.11
2012-12-17,174.00,179.45,168.45,169.00,5110900,160.22
2012-12-10,174.95,179.40,170.00,174.20,4480800,165.15
2012-12-03,172.20,179.50,168.35,175.45,7329600,166.34
2012-11-26,157.55,174.70,157.10,173.20,5713500,164.20
2012-11-19,160.10,161.25,153.05,157.75,4913000,149.56
2012-11-12,159.80,166.05,158.75,159.35,3185400,151.07
2012-11-05,167.50,168.80,158.10,158.70,6583400,150.46
2012-10-29,157.30,169.25,155.10,168.30,8096500,159.56
2012-10-22,151.70,157.75,150.00,157.40,3282800,149.22
2012-10-15,151.00,156.35,149.05,152.10,6667600,144.20
2012-10-08,160.00,161.90,148.20,151.05,6404200,143.20
2012-10-01,154.80,164.80,134.00,159.10,5904000,150.84
2012-09-24,154.00,161.90,153.50,154.45,8755700,146.43
2012-09-17,142.00,155.90,141.00,154.20,6744200,146.19
2012-09-10,127.50,139.65,126.00,138.95,5498500,131.73
2012-09-03,134.75,136.45,122.00,127.25,6609400,120.64
2012-08-27,142.50,143.05,132.10,134.05,5940000,127.09
2012-08-20,140.70,146.15,139.50,142.40,3265100,135.00
2012-08-13,131.25,143.75,130.30,140.70,5591000,133.39
2012-08-06,132.20,137.00,130.15,132.10,5475000,125.24
2012-07-30,128.30,136.90,128.30,130.55,4771400,123.77
2012-07-23,135.95,135.95,126.70,127.75,4398100,121.11
2012-07-16,137.00,140.60,133.75,137.20,3710600,130.07
2012-07-09,140.00,142.90,135.50,137.40,3693600,130.26
2012-07-02,136.25,143.50,134.45,142.30,5734100,134.91
2012-06-25,132.00,136.90,129.70,136.15,4770000,129.08
2012-06-18,133.45,134.20,125.10,131.45,6720500,122.50
2012-06-11,133.50,136.55,128.30,130.90,5989200,121.99
2012-06-04,118.50,133.40,117.10,132.55,6658400,123.53
2012-05-28,124.25,127.40,118.35,119.95,6437100,111.79
2012-05-21,117.00,126.00,115.70,125.05,6307700,116.54
2012-05-14,120.10,123.35,111.50,118.40,8695000,110.34
2012-05-07,112.00,122.70,110.35,120.85,10426500,112.63
2012-04-30,117.45,122.95,112.05,114.15,5243900,106.38
2012-04-23,129.80,130.40,114.60,117.40,8230500,109.41
2012-04-16,132.20,137.00,127.50,128.80,7236900,120.03
2012-04-09,136.60,138.90,130.80,132.45,7598500,123.44
2012-04-02,135.40,139.40,134.10,138.80,2651700,129.35
2012-03-26,134.80,135.90,125.90,135.00,9656600,125.81
2012-03-19,143.00,145.00,133.10,135.15,9126400,125.95
2012-03-12,151.00,154.40,143.65,144.85,7864600,134.99
2012-03-05,138.50,147.10,135.10,145.85,7852100,135.92
2012-02-27,139.10,145.00,129.50,140.50,6866600,130.94
2012-02-20,148.00,153.50,137.30,140.80,11025600,131.22
2012-02-13,134.70,161.00,132.05,148.00,11311100,137.93
2012-02-06,140.90,142.40,130.75,133.90,8092200,124.79
2012-01-30,128.50,139.85,124.70,138.30,11129600,128.89
2012-01-23,121.00,132.20,118.30,131.40,7735000,122.46
2012-01-16,107.50,129.50,106.65,120.55,12605000,112.35
2012-01-09,98.00,111.85,96.05,108.45,10918900,101.07
2012-01-02,92.00,102.00,90.40,97.70,6958500,91.05
2011-12-26,99.50,100.90,90.90,91.65,5060900,85.41
2011-12-19,104.00,104.30,95.20,98.70,10555000,91.98
2011-12-12,110.20,111.30,102.10,104.45,7289900,97.34
2011-12-05,115.00,119.35,109.20,109.65,5405200,102.19
2011-11-28,108.50,117.25,107.50,115.45,7259500,107.59
2011-11-21,111.00,111.00,101.25,106.50,6901800,99.25
2011-11-14,121.50,121.50,106.75,111.20,6714100,103.63
2011-11-08,128.50,130.35,117.55,118.75,7271600,110.67
2011-10-31,132.00,135.95,127.30,129.00,5075700,120.22
2011-10-24,123.00,134.50,121.80,132.05,5085600,123.06
2011-10-17,125.80,127.75,120.20,121.20,3764100,112.95
2011-10-10,116.10,125.90,116.10,124.65,7133000,116.17
2011-10-03,110.00,117.75,107.00,116.40,4235300,108.48
2011-09-26,110.00,114.25,107.70,110.80,3207300,103.26
2011-09-19,111.25,116.15,106.55,109.35,6201500,101.91
2011-09-12,111.15,113.85,107.10,112.40,6297600,104.75
2011-09-05,109.60,118.45,107.70,113.85,8173600,106.10
2011-08-29,107.00,118.30,106.65,109.95,8529200,102.47
2011-08-22,108.15,115.50,103.25,104.85,8751300,97.71
2011-08-16,122.50,122.50,104.55,106.90,10313000,99.62
2011-08-08,119.00,126.30,118.00,119.50,7419000,111.37
2011-08-01,128.50,130.30,115.80,121.30,8543400,113.04
2011-07-25,141.00,145.00,122.40,126.05,11414700,117.47
2011-07-18,138.00,144.30,136.05,141.65,6058200,132.01
2011-07-11,134.70,140.25,129.45,138.95,7481000,129.49
2011-07-04,136.40,139.85,133.50,134.30,6540200,123.30
2011-06-27,123.40,135.80,122.75,135.05,8168500,123.99
2011-06-20,120.50,124.70,111.15,124.15,9150000,113.98
2011-06-13,133.40,133.95,118.30,119.45,13588000,109.67
2011-06-06,136.00,137.95,132.55,133.35,4923000,122.43
2011-05-30,137.40,142.90,134.60,135.30,3888900,124.22
2011-05-23,136.50,138.45,126.55,137.80,6266100,126.51
2011-05-16,131.00,139.30,125.50,137.30,7364700,126.05
2011-05-09,138.25,138.40,128.30,131.35,5946300,120.59
2011-05-02,144.80,145.95,133.05,137.15,8195000,125.92
2011-04-25,157.00,158.00,143.45,145.30,6115100,133.40
2011-04-18,157.10,160.20,153.10,157.00,3555600,144.14
2011-04-11,159.00,160.50,151.30,157.10,3225200,144.23
2011-04-04,160.55,167.20,158.00,159.75,4388600,146.66
2011-03-28,157.45,161.55,153.40,160.10,6636000,146.99
2011-03-21,145.00,156.45,141.50,155.65,5363000,142.90
2011-03-14,144.00,147.50,140.35,143.50,4055100,131.75
2011-03-07,146.90,147.85,141.50,144.75,4964300,132.89
2011-02-28,141.00,154.40,140.10,147.95,9727900,135.83
2011-02-21,143.60,146.90,130.00,138.05,11215300,126.74
2011-02-14,137.95,150.40,134.65,143.15,13510200,131.42
2011-02-07,138.05,138.70,115.45,135.30,12702000,124.22
2011-01-31,148.00,150.50,136.80,137.95,9515700,126.65
2011-01-24,158.70,160.00,146.15,148.35,3326600,136.20
2011-01-17,154.70,160.25,151.00,157.90,4612200,144.97
2011-01-10,169.30,169.40,153.00,154.25,4721200,141.61
2011-01-03,184.05,185.65,167.15,168.90,5315100,155.06
2010-12-27,176.70,183.30,173.30,182.60,3026400,167.64
2010-12-20,171.10,181.95,169.60,175.65,5549800,161.26
2010-12-13,173.35,177.10,167.70,170.85,3452200,156.86
2010-12-06,186.95,187.60,161.25,172.15,7061000,158.05
2010-11-29,182.15,193.95,177.80,184.65,4888500,169.52
2010-11-22,186.50,193.95,168.20,180.15,7453100,165.39
2010-11-15,191.00,197.40,182.70,184.80,6218600,169.66
2010-11-08,215.00,218.25,189.10,190.10,9280000,174.53
2010-11-01,202.50,217.25,201.00,214.80,3647000,197.20
2010-10-25,202.70,211.20,195.10,200.05,4514700,183.66
2010-10-18,196.70,208.85,196.35,200.85,3158900,184.40
2010-10-11,208.00,214.65,203.55,205.30,4177300,188.48
2010-10-04,207.25,213.30,200.50,207.05,5802500,190.09
2010-09-27,208.00,214.00,199.05,206.85,7663200,189.91
2010-09-20,193.00,207.20,191.15,206.35,7217200,189.45
2010-09-13,190.00,201.00,189.10,193.45,8271000,177.60
2010-09-06,181.00,190.50,180.10,188.90,3614000,173.43
2010-08-30,184.00,184.80,175.05,179.75,2456200,165.03
2010-08-23,189.70,189.75,180.20,181.55,2656900,166.68
2010-08-16,182.00,188.40,166.00,188.00,3520000,172.60
2010-08-09,181.50,185.90,176.20,181.25,4054200,166.40
2010-08-02,186.50,189.50,180.50,181.15,4754300,166.31
2010-07-26,192.25,195.50,183.70,185.95,7146600,170.72
2010-07-19,194.50,196.00,188.55,192.25,4653700,176.50
2010-07-12,188.00,196.35,182.75,195.40,9255000,179.39
2010-07-05,180.00,185.90,177.80,185.05,5052700,169.89
2010-07-01,177.05,183.90,177.05,179.80,12386900,165.07
